City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,norilsk,69.3535,88.2027,-8.23,96,73,4.88,RU,1699935943
232,gamba,-2.65,10.0,77.76,87,100,5.68,GA,1699935944
233,cabo san lucas,22.8909,-109.9124,80.76,64,20,3.71,MX,1699935752
234,klyuchi,52.2667,79.1667,38.73,87,92,8.57,RU,1699935945
235,swift current,50.2834,-107.8014,41.81,60,0,18.41,CA,1699935945
236,kyabe,9.4515,18.9449,76.98,64,86,1.03,TD,1699935945
237,vallenar,-28.5708,-70.7581,65.59,49,1,1.9,CL,1699935946
238,novoishimskiy,53.1981,66.7694,39.27,81,100,17.96,KZ,1699935946
239,watsa,3.0372,29.5355,63.23,99,92,1.97,CD,1699935946
240,bopolu,7.0667,-10.4875,73.22,97,24,0.25,LR,1699935947
241,kenton,38.9501,-84.5333,51.19,47,20,0.0,US,1699935947
242,verkhnevilyuysk,63.4453,120.3167,14.5,94,100,5.44,RU,1699935947
243,khasab,26.1799,56.2477,81.7,29,43,4.52,OM,1699935948
244,pacasmayo,-7.4006,-79.5714,67.19,84,21,13.27,PE,1699935948
245,sayaxche,16.5167,-90.1667,72.72,100,96,1.99,GT,1699935949
246,kete krachi,7.7939,-0.0498,79.83,82,11,5.88,GH,1699935949
247,enewetak,11.3474,162.3373,83.12,81,87,18.57,MH,1699935949
248,salinas,36.6777,-121.6555,55.49,87,20,6.91,US,1699935950
249,nephi,39.7102,-111.8363,46.74,25,98,5.3,US,1699935950
250,selfoss,63.9331,-20.9971,43.05,75,78,17.9,IS,1699935950
251,fortuna,40.5982,-124.1573,55.92,95,100,1.01,US,1699935951
252,zeya,53.75,127.2667,20.48,54,100,0.72,RU,1699935951
253,slave lake,55.2834,-114.769,28.38,69,100,23.02,CA,1699935951
254,gizo,-8.103,156.8419,81.77,75,100,8.32,SB,1699935952
255,beroroha,-21.6667,45.1667,78.31,45,12,1.99,MG,1699935952
256,fuglafjordur,62.244,-6.814,43.27,69,68,21.0,FO,1699935952
257,youhao,47.8667,128.8333,28.36,70,37,3.78,CN,1699935953
258,medvedevo,56.6339,47.804,38.84,96,100,10.0,RU,1699935953
259,cedeira,43.6797,-8.0209,65.37,89,100,27.94,ES,1699935954
260,north haven,41.3909,-72.8595,40.19,88,20,0.0,US,1699935862
261,paimpol,48.7784,-3.0438,56.07,82,93,20.2,FR,1699935954
262,nizhnekamsk,55.6366,51.8245,41.79,93,75,11.18,RU,1699935955
263,hosszupalyi,47.393,21.7328,50.34,87,75,14.97,HU,1699935955
264,katsuren-haebaru,26.3369,127.8719,75.58,49,75,9.22,JP,1699935956
265,letohrad,50.0358,16.4988,50.31,84,66,12.88,CZ,1699935956
266,quellon,-43.1167,-73.6167,39.43,81,96,7.52,CL,1699935956
267,keban,38.7978,38.7336,55.24,94,100,2.21,TR,1699935957
268,lewistown,40.5992,-77.5714,51.21,43,0,5.75,US,1699935957
269,ugoofaaru,5.6667,73.0,81.14,77,67,4.32,MV,1699935958
270,giporlos,11.12,125.4494,84.65,76,74,6.55,PH,1699935958
271,barcelos,41.5388,-8.6151,64.54,92,94,6.8,PT,1699935958
272,sumter,28.7086,-82.0831,66.15,87,100,10.18,US,1699935959
273,zakynthos,37.7914,20.8953,56.64,63,5,7.25,GR,1699935959
274,labrador city,52.9463,-66.9114,13.91,92,100,2.3,CA,1699935959
275,oyem,1.5995,11.5793,66.99,99,90,0.85,GA,1699935960
276,san clemente,33.427,-117.612,65.21,50,62,1.99,US,1699935960
277,qaqortoq,60.7167,-46.0333,19.53,94,95,3.6,GL,1699935960
278,marsh harbour,26.5412,-77.0636,77.38,78,100,10.98,BS,1699935961
279,kathu,7.9178,98.3332,84.02,72,100,10.13,TH,1699935961
280,hadibu,12.65,54.0333,80.46,83,76,10.71,YE,1699935961
281,shache,38.4167,77.2406,48.65,23,67,2.44,CN,1699935961
